Country,Indicator,Source,Unit,Currency,Frequency,Country Code,Time,Amount,Year
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2017-01-01,-277504.0,2017.0
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2017-04-01,-366401.0,2017.0
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2017-07-01,-101134.0,2017.0
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2017-10-01,-201762.0,2017.0
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2018-01-01,-285441.0,2018.0
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2018-04-01,-425385.0,2018.0
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2018-07-01,,2018.0
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2018-10-01,-206271.0,2018.0
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2019-01-01,-304022.0,2019.0
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2019-04-01,-423019.0,2019.0
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2019-07-01,-126189.0,2019.0
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2019-10-01,-194626.0,2019.0
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2020-01-01,-287190.0,2020.0
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2020-04-01,-408509.0,2020.0
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2020-07-01,-144732.0,2020.0
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2020-10-01,-243544.0,2020.0
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2021-01-01,-334758.0,2021.0
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2021-04-01,-459449.0,2021.0
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2021-07-01,-157617.0,2021.0
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2021-10-01,-250225.0,2021.0
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2022-01-01,-364904.0,2022.0
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2022-04-01,-477486.0,2022.0
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2022-07-01,-145891.0,2022.0
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2022-10-01,-325260.0,2022.0
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2023-01-01,-514844.0,2023.0
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2023-04-01,-580182.0,2023.0
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2023-07-01,-414431.0,2023.0
Ethiopia,Budget Deficit/Surplus,National Bank of Ethiopia,Millions,ETB,Yearly,ETH,2015-01-01,-30882.1,2015.0
Ethiopia,Budget Deficit/Surplus,National Bank of Ethiopia,Millions,ETB,Yearly,ETH,2016-01-01,-36073.4,2016.0
Ethiopia,Budget Deficit/Surplus,National Bank of Ethiopia,Millions,ETB,Yearly,ETH,2017-01-01,-59444.0,2017.0
Ethiopia,Budget Deficit/Surplus,National Bank of Ethiopia,Millions,ETB,Yearly,ETH,2018-01-01,-66643.2,2018.0
Ethiopia,Budget Deficit/Surplus,National Bank of Ethiopia,Millions,ETB,Yearly,ETH,2019-01-01,-68169.2,2019.0
Ethiopia,Budget Deficit/Surplus,National Bank of Ethiopia,Millions,ETB,Yearly,ETH,2020-01-01,-93277.4,2020.0
Ethiopia,Budget Deficit/Surplus,National Bank of Ethiopia,Millions,ETB,Yearly,ETH,2021-01-01,-120118.5,2021.0
Ethiopia,Budget Deficit/Surplus,National Bank of Ethiopia,Millions,ETB,Yearly,ETH,2022-01-01,-212345.4,2022.0
Ethiopia,Budget Deficit/Surplus,National Bank of Ethiopia,Millions,ETB,Yearly,ETH,2023-01-01,-221184.9,2023.0
Ethiopia,Budget Deficit/Surplus,National Bank of Ethiopia,Millions,ETB,Yearly,ETH,2024-01-01,-246950.7,2024.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-01-01,-329.9,2012.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-02-01,-186.0,2012.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-03-01,119.3,2012.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-04-01,-224.1,2012.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-05-01,-155.0,2012.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-06-01,-137.4,2012.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-07-01,-391.2,2012.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-08-01,-241.1,2012.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-09-01,-555.9,2012.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-10-01,-612.9,2012.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-11-01,-1987.1,2012.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-12-01,425.1,2012.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-01-01,-590.0,2013.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-02-01,38.6,2013.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-03-01,165.0,2013.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-04-01,-258.8,2013.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-05-01,-484.9,2013.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-06-01,11.6,2013.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-07-01,-1501.6,2013.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-08-01,-1159.7,2013.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-09-01,-808.8,2013.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-10-01,-1285.2,2013.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-11-01,-4588.7,2013.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-12-01,-1104.4,2013.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-01-01,-250.5,2014.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-02-01,21.5,2014.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-03-01,-107.4,2014.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-04-01,-673.9,2014.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-05-01,-886.2,2014.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-06-01,-544.6,2014.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-07-01,-857.4,2014.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-08-01,-332.6,2014.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-09-01,-585.8,2014.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-10-01,-944.6,2014.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-11-01,-507.9,2014.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-12-01,-1547.4,2014.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-01-01,-927.8,2015.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-02-01,-619.5,2015.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-03-01,507.8,2015.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-04-01,-1196.7,2015.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-05-01,-161.1,2015.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-06-01,337.0,2015.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-07-01,-278.9,2015.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-08-01,-1580.4,2015.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-09-01,-429.4,2015.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-10-01,-289.3,2015.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-11-01,135.3,2015.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-12-01,-1813.3,2015.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-01-01,-368.6,2016.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-02-01,-726.5,2016.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-03-01,-1205.1,2016.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-04-01,-395.0,2016.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-05-01,-1081.1,2016.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-06-01,-1172.8,2016.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-07-01,-1474.4,2016.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-08-01,-1419.8,2016.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-09-01,-1839.3,2016.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-10-01,-1148.0,2016.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-11-01,-1902.7,2016.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-12-01,-4713.6,2016.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2017-01-01,-410.5,2017.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2017-02-01,-271.8,2017.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2017-03-01,-660.3,2017.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2017-04-01,-772.0,2017.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2017-05-01,-2018.7,2017.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2017-06-01,-1293.8,2017.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2017-07-01,-1040.7,2017.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2017-08-01,-435.8,2017.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2017-09-01,-1090.2,2017.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2017-10-01,-1135.6,2017.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2017-11-01,-1264.7,2017.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2017-12-01,-672.5,2017.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2018-01-01,-1556.3,2018.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2018-02-01,-783.2,2018.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2018-03-01,-738.8,2018.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2018-04-01,-1785.5,2018.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2018-05-01,-746.5,2018.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2018-06-01,-396.8,2018.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2018-07-01,-2158.9,2018.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2018-08-01,8.3,2018.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2018-09-01,-882.6,2018.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2018-10-01,-1384.1,2018.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2018-11-01,-977.2,2018.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2018-12-01,841.6,2018.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2019-01-01,-1072.3,2019.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2019-02-01,-1862.4,2019.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2019-03-01,-1250.6,2019.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2019-04-01,-1799.6,2019.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2019-05-01,-2276.0,2019.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2019-06-01,-1227.1,2019.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2019-07-01,-2942.3,2019.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2019-08-01,-582.0,2019.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2019-09-01,-1783.8,2019.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2019-10-01,-1003.9,2019.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2019-11-01,-1083.5,2019.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2019-12-01,3758.2,2019.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2020-01-01,-2594.2,2020.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2020-02-01,-3287.4,2020.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2020-03-01,-5108.9,2020.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2020-04-01,-3444.0,2020.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2020-05-01,-3250.7,2020.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2020-06-01,-4909.6,2020.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2020-07-01,-3621.1,2020.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2020-08-01,-3840.5,2020.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2020-09-01,-3689.2,2020.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2020-10-01,-2573.2,2020.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2020-11-01,-3438.4,2020.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2020-12-01,-1514.8,2020.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2021-01-01,-1992.5,2021.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2021-02-01,-3415.2,2021.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2021-03-01,-2906.9,2021.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2021-04-01,-2090.5,2021.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2021-05-01,-3700.1,2021.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2021-06-01,-3320.7,2021.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2021-07-01,-3811.3,2021.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2021-08-01,-4424.0,2021.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2021-09-01,-2815.0,2021.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2021-10-01,-2647.9,2021.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2021-11-01,-6484.2,2021.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2021-12-01,-1571.1,2021.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2022-01-01,-5013.4,2022.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2022-02-01,-3817.9,2022.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2022-03-01,-4448.2,2022.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2022-04-01,-1639.2,2022.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2022-05-01,-5203.5,2022.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2022-06-01,-4500.1,2022.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2022-07-01,-2400.7,2022.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2022-08-01,-4075.3,2022.0
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2022-09-01,-3869.6,2022.0
