country,country_code,year,budget_deficit_surplus,capital_expenditure,consumer_price_index_cpi,defence_expenditure,education_expenditure,expenditure,exports,food_inflation,gdp_growth_rate,gdp_per_capita,government_debt,health_expenditure,imports,inflation_rate,interest_rate,labour_force,nominal_gdp,population,real_gdp,revenue,tax_revenue,unemployment_rate,value_added_tax_vat
Botswana,BWA,1979.0,,,,,,,,,,,,,,,,,,901742.0,,,,,
Botswana,BWA,1980.0,,,,,,,,,,,,,,,,,,937485.0,,,,,
Botswana,BWA,1981.0,,,,,,,,,,,,,,,,,,969996.0,,,,,
Botswana,BWA,1982.0,,,,,,,,,,,,,,,,,,1009269.0,,,,,
Botswana,BWA,1983.0,,,,,,,,,,,,,,,,,,1046137.0,,,,,
Botswana,BWA,1984.0,,,,,,,,,,,,,,,,,,1083660.0,,,,,
Botswana,BWA,1985.0,,,,,,,,,,,,,,,,,,1121945.0,,,,,
Botswana,BWA,1986.0,,,,,,,,,,,,,,,,,,1160650.0,,,,,
Botswana,BWA,1987.0,,,,,,,,,,,,,,,,,,1199167.0,,,,,
Botswana,BWA,1988.0,,,,,,,,,,,,,,,,,,1235476.0,,,,,
Botswana,BWA,1989.0,,,,,,,,,,,,,,,,,,1270274.0,,,,,
Botswana,BWA,1990.0,,,,,,,,,,,,,,,,,,1305696.0,,,,,
Botswana,BWA,1991.0,,,,,,,,,,,,,,,,,,1341756.0,,,,,
Botswana,BWA,1992.0,,,,,,,,,,,,,,,,,,1380033.0,,,,,
Botswana,BWA,1993.0,,,,,,,,,,,,,,,,,,1420115.0,,,,,
Botswana,BWA,1994.0,,,,,,,,,,,,,,,,,,1460023.0,,,,,
Botswana,BWA,1995.0,,,,,,,,,,,,,,,,,,1498836.0,,,,,
Botswana,BWA,1996.0,,,,,,,,,,,,,,,,,,1535914.0,,,,,
Botswana,BWA,1997.0,,,,,,,,,,,,,,,,,,1571691.0,,,,,
Botswana,BWA,1998.0,,,,,,,,,,,,,,,,,,1606899.0,,,,,
Botswana,BWA,1999.0,,,,,,,,,,,,,,,,,,1641997.0,,,,,
Botswana,BWA,2000.0,,,,,,,,,,,,,,,,,,1677382.0,,,,,
Botswana,BWA,2001.0,,,,,,,,,,,,,,,,,,1712254.0,,,,,
Botswana,BWA,2002.0,,,,,,,,,,,,,,,,,,1744763.0,,,,,
Botswana,BWA,2003.0,,,,,,,,,,,,,,,,,,1775736.0,,,,,
Botswana,BWA,2004.0,,,,,,,,,,,,,,,,,,1807146.0,,,,,
Botswana,BWA,2005.0,,,,,,,,,,,,,,,,,,1839877.0,,,,,
Botswana,BWA,2006.0,,,,,,,,,,,,,,,,,,1874516.0,,,,,
Botswana,BWA,2007.0,,,,,,,,,,,,,,,,,,1911201.0,,,,,
Botswana,BWA,2008.0,,,,,,,,,,,,,,,,,,1949970.0,,,,,
Botswana,BWA,2009.0,,,,,,,,,,,,,,,,,,1990673.0,,,,,
Botswana,BWA,2010.0,,,,,,,,,,,,,,,,,,2033111.0,,,,,
Botswana,BWA,2011.0,,,,,,,,,,,,,,,,,,2073535.0,,,,,
Botswana,BWA,2012.0,,,,,,,,,,,,,,,,,,2108617.0,,,,,
Botswana,BWA,2013.0,,,,,,,,,,,,,,,,,,2140682.0,152500.4,,,,
Botswana,BWA,2014.0,,,,,,,,,,,,,,,7.5,,,2172044.0,40696.5,,,,
Botswana,BWA,2015.0,,,,,,,,,,70162.76,,,,,7.25,,,2203273.0,39080.1,,,,
Botswana,BWA,2016.0,,,,,,,,,,74072.23,,,,,6.0,,,2234776.0,40475.1,,,,
Botswana,BWA,2017.0,,,,,,,,,,75946.28,,,,,5.5,,,2266747.0,41756.7,,,,
Botswana,BWA,2018.0,,,,,,,,,,77927.75,,,,,5.0,,,2299141.0,43344.6,,,,
Botswana,BWA,2019.0,,,,,,,,,,79087.81,,,,,5.0,,,2332083.0,45322.9,,,,
Botswana,BWA,2020.0,,,,,,,,,,70627.99,,,,,4.75,,,2365894.0,45831.4,,,,
Botswana,BWA,2021.0,,,,,,,,,,77876.73,,,,,3.75,,,2401441.0,46484.0,,,,
Botswana,BWA,2022.0,,,,,,,,,,80960.0,,,,,3.75,962319.0,,2439892.0,49490.6,,,25.4,
Botswana,BWA,2023.0,,,,,,,,,,82375.03,,,,,1.9,1063776.0,,2480244.0,52312.6,,,25.9,
Botswana,BWA,2024.0,,,,,,,,,,78804.33,,,,,1.9,1041204.0,,,49583.5,,,27.6,
Botswana,BWA,2025.0,,,,,,,,,,,,,,,1.9,,,,49435.2,,,,
Egypt,EGY,1982.0,,,,,,,,,,,,,,,,,22.5,,1319.4,,,,
Egypt,EGY,1983.0,,,,,,,,,4.89,,,,,,,,26.6,,1383.91,,,,
Egypt,EGY,1984.0,,,,,,,,,9.75,,,,,,,,31.6,,1518.78,,,,
Egypt,EGY,1985.0,,,,,,,,,5.79,,,,,,,,37.3,,1606.74,,,,
Egypt,EGY,1986.0,,,,,,,,,4.74,,,,,,,,44.1,,1682.97,,,,
Egypt,EGY,1987.0,,,,,,,,,3.48,,,,,,,,51.5,,1741.61,,,,
Egypt,EGY,1988.0,,,,,,,,,5.39,,,,,,,,61.6,,1835.43,,,,
Egypt,EGY,1989.0,,,,,,,,,5.11,,,,,,,,77.0,,1929.26,,,,
Egypt,EGY,1990.0,,,,,,,,,5.78,,,,,,,,95.8,,2040.68,,,,
Egypt,EGY,1991.0,,,,,,,,,1.15,,,,,,,,112.5,,2064.13,,,,
Egypt,EGY,1992.0,,,,,,,,,4.26,,,,,,,,139.1,,2152.09,,,,
Egypt,EGY,1993.0,,,,,,,,,3.0,,,,,,,,155.2,,2216.6,,,,
Egypt,EGY,1994.0,,,,,,,,,3.97,,,,,,,,175.0,,2304.56,,,,
Egypt,EGY,1995.0,,,,,,,,,4.58,,,,,,,,204.0,,2410.11,,,,
Egypt,EGY,1996.0,,,,,,,,,5.11,,,,,,,,229.4,,2533.25,,,,
Egypt,EGY,1997.0,,,,,,,,,5.32,,,,,,,,265.9,,2668.12,,,,
Egypt,EGY,1998.0,,,,,,,,,4.18,,,,,,,,287.4,,2779.54,,,,
Egypt,EGY,1999.0,,,,,,,,,5.91,,,,,,,,307.6,,2943.73,,,,
Egypt,EGY,2000.0,,,,,,,,,5.58,,,,,2.9,,,340.1,,3107.92,,,,
Egypt,EGY,2001.0,,,,,,,,,3.4,,,,,2.6,,,358.7,,3213.48,,,,
Egypt,EGY,2002.0,,,,,,,,,2.37,,,,,2.4,,,378.9,,3289.71,,,,
Egypt,EGY,2003.0,,,,,,,,,3.19,,,,,2.9,,,417.5,,3394.73,,,,
Egypt,EGY,2004.0,,,,,,,,,4.09,,18964.5,,,12.7,,,485.3,,3533.57,,,,
Egypt,EGY,2005.0,,,135.5,,,,4031.0,,4.47,,18231.0,,7348.3,9.4,,,538.5,,3691.99,,,,
Egypt,EGY,2006.0,-962.0,,138.3,3805.0,,42053.0,18455.1,,6.84,,18864.5,,30441.0,3.4,,,617.7,,3945.32,45046.0,17124.0,,
Egypt,EGY,2007.0,-56213.0,,155.5,17718.0,,244018.0,22017.5,,7.09,,19492.0,,38308.1,12.4,,,744.8,,4225.22,205654.0,114326.0,,
Egypt,EGY,2008.0,-67563.0,,110.5,19849.0,,305795.0,29355.8,,7.16,,21641.1,,52771.2,10.5,,,895.5,,4527.8,248835.0,137195.0,,
Egypt,EGY,2009.0,-72379.0,,126.4,22267.0,,356944.0,25168.9,,4.67,,25817.7,,50342.2,14.4,,,1042.2,,4739.07,288545.0,163222.0,,
Egypt,EGY,2010.0,-98886.0,,100.0,23453.0,,396768.0,23873.1,,5.15,,26249.3,,48993.1,13.9,11.1,,1206.6,,4983.15,303361.0,170494.0,9.0,
Egypt,EGY,2011.0,-134138.0,,110.8,26484.0,,440410.0,26992.5,,1.76,,27092.2,,54095.5,10.8,10.7,,1371.1,,5070.09,302010.0,192072.0,12.0,
Egypt,EGY,2012.0,-165689.0,,120.3,26018.0,,516422.0,25071.9,,2.23,,25594.4,,59210.9,8.6,11.9,,1674.7,,5183.44,348865.0,207410.0,12.7,
Egypt,EGY,2013.0,-246853.0,,127.9,28739.0,,644080.0,26988.1,,2.19,,28489.6,,57682.8,6.3,12.1,,1860.4,,5296.37,403637.0,251118.0,13.2,
Egypt,EGY,2014.0,-254715.0,,142.4,31844.0,,759847.0,26022.6,,2.92,,29054.0,,60181.9,11.4,11.8,,2130.0,,5451.64,519449.0,260289.0,13.0,
Egypt,EGY,2015.0,-284314.0,,156.2,41477.0,,805929.0,22245.1,,4.37,,25707.2,,61305.5,9.7,11.7,,2443.9,,5689.25,538378.0,305957.0,12.8,
Egypt,EGY,2016.0,-244653.0,,171.9,30854.0,,586805.0,18704.6,,4.35,,24436.7,,57387.7,10.1,11.9,,2709.4,,5936.11,331741.0,352315.0,12.5,
Egypt,EGY,2017.0,-366401.0,,220.3,48934.0,,1116985.0,21728.2,,4.18,,34874.7,,59003.0,28.1,16.5,,3655.9,,6184.85,755110.0,462007.0,11.8,
Egypt,EGY,2018.0,-425385.0,,257.9,55002.0,,1335980.0,25827.0,,5.31,,47648.8,,63103.0,17.1,19.9,,4666.2,,6514.41,915974.0,628083.0,9.9,
Egypt,EGY,2019.0,-423019.0,,290.7,61582.0,,1505187.0,28495.0,,5.56,,57272.0,,66529.4,12.7,18.1,,5596.0,,6875.82,1080152.0,736121.0,7.9,
Egypt,EGY,2020.0,-408509.0,,105.6,66868.0,,1580934.0,26376.0,,3.57,,69352.1,,62841.1,7.2,13.6,,6152.6,,7121.63,1121422.0,739633.0,7.9,
Egypt,EGY,2021.0,-459449.0,,110.2,79426.0,,1729464.0,28676.5,,3.3,,82445.6,,70736.1,4.3,9.5,,6663.1,,7353.18,1266027.0,833993.0,7.4,
Egypt,EGY,2022.0,-477486.0,,118.1,89708.0,,1937165.0,43906.4,,6.6,,82275.4,,87302.4,7.3,9.5,,7842.5,,7842.5,1483977.0,990138.0,7.2,
Egypt,EGY,2023.0,-580182.0,,148.7,100966.0,,2309495.0,39624.0,,3.8,,83428.3,,70783.6,25.8,14.4,,10155.4,,8137.3,1723717.0,1258582.0,7.0,
Egypt,EGY,2024.0,,,,,,,7670.0,,2.4,,80178.2,,72134.7,29.8,19.3,,,,8332.63,,,6.6,
Egypt,EGY,2025.0,,,,,,,,,,,,,,23.95,21.0,,,,,,,,
Ethiopia,ETH,2008.0,,,,,,,,,,,,,,7.8,,,,,,,,,
Ethiopia,ETH,2010.0,,,,,,,,,,,,,,7.9,,,,,,,,,
Ethiopia,ETH,2011.0,,,,,,,,,11.4,396.0,,,,8.8,,,478900.0,80700000.0,475600.0,,,,
Ethiopia,ETH,2012.0,,,,,,,,,8.7,523.0,,,,9.1,,,519500.0,82700000.0,517000.0,,,,
Ethiopia,ETH,2013.0,,,,,,,,,9.9,559.0,,,,8.7,,,571700.0,84800000.0,568000.0,,,,
Ethiopia,ETH,2014.0,,,,,,,3300.1,,10.3,640.0,,,13712.3,8.5,,,630300.0,87000000.0,627000.0,,,,
Ethiopia,ETH,2015.0,-30882.1,117145.7,,,,230521.2,3019.1,,10.4,725.0,,,16458.6,10.4,,,696500.0,89100000.0,692000.0,199639.1,165312.5,,
Ethiopia,ETH,2016.0,-36073.4,144184.1,,,,280892.8,6077.3,11.2,8.0,814.6,,,20552.1,9.7,12.8,,1568097.5,91200000.0,1568097.5,244819.4,190519.7,,
Ethiopia,ETH,2017.0,-59444.0,153023.5,,,,329658.1,6257.2,7.2,10.1,875.8,,,19714.0,7.4,12.8,,1832553.7,93400000.0,1717127.2,270214.1,210172.5,,
Ethiopia,ETH,2018.0,-66643.2,143735.1,,,,354205.3,7095.9,13.4,7.7,883.3,,,19707.4,14.6,13.5,,2202372.7,95500000.0,1834066.5,287562.1,235229.5,,
Ethiopia,ETH,2019.0,-68169.2,174949.1,,,,413105.7,7694.9,13.1,9.0,983.1,,,20704.8,12.6,13.5,,2696222.7,97600000.0,1982516.7,344936.5,268457.4,,
Ethiopia,ETH,2020.0,-93277.4,207576.1,,,,488243.2,7715.7,23.3,6.1,1079.4,,,18828.3,19.9,14.3,,3374746.9,99750000.0,2109180.1,394965.8,311476.5,,
Ethiopia,ETH,2021.0,-120118.5,235409.7,,,,599006.7,8498.9,23.2,6.3,1091.7,,,19177.0,20.2,14.3,,4341024.2,101900000.0,2227894.7,478888.1,388763.5,,
Ethiopia,ETH,2022.0,-212345.4,262055.7,,,,779099.0,10457.7,40.3,6.4,1217.8,,,23845.0,33.8,14.3,,6157015.2,104100000.0,2346748.0,566753.6,477770.3,,
Ethiopia,ETH,2023.0,-221184.9,355917.0,,,,938771.6,10855.8,31.7,7.2,1548.7,,,23430.0,32.5,14.3,,8723116.8,105700000.0,2501498.3,717586.7,593232.1,,
Ethiopia,ETH,2024.0,-246950.7,467457.6,,,,1120077.3,11763.6,28.1,8.1,1937.0,,,25128.0,26.6,14.3,,11752138.0,108400000.0,2684525.0,873126.5,716172.2,,
Ghana,GHA,1971.0,,,,,,,,,,,,,,,8.0,,,,,,,,
Ghana,GHA,1972.0,,,,,,,,,,,,,,,8.0,,,,,,,,
Ghana,GHA,1973.0,,,,,,,,,,,,,,,6.0,,,,,,,,
Ghana,GHA,1974.0,,,,,,,,,,,,,,,6.0,,,,,,,,
Ghana,GHA,1975.0,,,,,,,,,,,,,,,6.0,,,,,,,,
Ghana,GHA,1976.0,,,,,,,,,,,,,,,8.0,,,,,,,,
Ghana,GHA,1977.0,,,,,,,,,,,,,,,8.0,,,,,,,,
Ghana,GHA,1978.0,,,,,,,,,,,,,,,8.0,,,,,,,,
Ghana,GHA,1979.0,,,,,,,,,,,,,,,13.5,,,,,,,,
Ghana,GHA,1980.0,,,,,,,,,,,,,,,13.5,,,,,,,,
Ghana,GHA,1981.0,,,,,,,,,,,,,,,13.5,,,,,,,,
Ghana,GHA,1982.0,,,,,,,,,,,,,,,19.5,,,,,,,,
Ghana,GHA,1983.0,,,,,,,,,,,,,,,10.5,,,,,,,,
Ghana,GHA,1984.0,,,,,,,,,,,,,,,14.5,,,,,,,,
Ghana,GHA,1985.0,,,,,,,,,,,,,,,18.0,,,,,,,,
Ghana,GHA,1986.0,,,,,,,,,,,,,,,18.5,,,,,,,,
Ghana,GHA,1987.0,,,,,,,,,,,,,,,23.5,,,,,,,,
Ghana,GHA,1988.0,,,,,,,,,,,,,,,26.0,,,,,,,,
Ghana,GHA,1989.0,,,,,,,,,,,,,,,26.0,,,,,,,,
Ghana,GHA,1990.0,,,,,,,,,,,,,,,26.0,,,,,,,,
Ghana,GHA,1991.0,,,,,,,,,,,,,,,35.0,,,,,,,,
Ghana,GHA,1992.0,,,,,,,,,,,,,,,20.0,,,,,,,,
Ghana,GHA,1993.0,,,,,,,,,,,,,,,30.0,,,,,,,,
Ghana,GHA,1994.0,,,,,,,,,,,,,,,30.0,,,,,,,,
Ghana,GHA,1995.0,,,,,,,,,,,,,,,39.0,,,,,,,,
Ghana,GHA,1996.0,,,,,,,,,,,,,,,45.0,,,,,,,,
Ghana,GHA,1997.0,,,,,,,,,,,,,,,45.0,,,,,,,,
Ghana,GHA,1998.0,,,,,,,,,,,,,,,45.0,,,,,,,,
Ghana,GHA,1999.0,,,,,,,,,,,,,,,32.0,,,,,,,,
Ghana,GHA,2000.0,,,,,,,,,,,,,,,27.0,,,,,,,,
Ghana,GHA,2001.0,,,,,,,,,,,,,,,27.0,,,,,,,,
Ghana,GHA,2002.0,,,,,,,,,,,,,,,27.0,,,,,,,,
Ghana,GHA,2003.0,,,,,,,,,,,,,,,25.5,,,,,,,,
Ghana,GHA,2004.0,,,,,,,,,,,,,,,21.5,,,,,,,,
Ghana,GHA,2005.0,,,,,,,,,,,,,,,18.5,,,,,,,,
Ghana,GHA,2006.0,,,,,,,330.1,,,,,,490.8,,14.5,,7051.4,,16714.21,,,,
Ghana,GHA,2007.0,,,,,,,358.4,,7.5,,,,592.3,,12.5,,8244.62,,17967.28,,,,
Ghana,GHA,2008.0,,,,,,,406.1,,8.03,,,,781.9,,13.5,,11129.81,,19410.59,,,,
Ghana,GHA,2009.0,,,,,,,571.4,,3.48,,,,769.8,,17.0,,12716.5,,20086.83,,,,
Ghana,GHA,2010.0,,,,,,,637.6,,6.48,,,,790.2,,18.0,,17367.17,,21408.68,,,,
Ghana,GHA,2011.0,,,,,,,941.9,,11.2,,,,1131.0,,13.5,,20931.12,,24392.3,,,,
Ghana,GHA,2012.0,-329.9,,96.8,,,1401.1,1319.6,,10.03,,,,1268.1,,12.5,,23865.22,,27631.43,1071.2,279.6,,
