country,country_code,year,budget_deficit_surplus,capital_expenditure,consumer_price_index_cpi,defence_expenditure,education_expenditure,expenditure,exports,food_inflation,gdp_growth_rate,gdp_per_capita,government_debt,health_expenditure,imports,inflation_rate,interest_rate,labour_force,nominal_gdp,population,real_gdp,revenue,tax_revenue,unemployment_rate,value_added_tax_vat,risk_score,debt_to_gdp,budget_balance,deficit_to_gdp,revenue_to_gdp,tax_revenue_to_gdp,tax_effort,expenditure_to_gdp
Algeria,DZA,2014.0,,,161.4,,,,60.1,2.46,4.1,,,,-59.67,2.67,,,19253765.0,,,,,,,0.024658432,,,,,,,
Algeria,DZA,2015.0,,,168.91,,,,34.6,4.26,3.2,,,,-52.65,3.25,,,18879025.0,,,,,,,0.017176928,,,,,,,
Algeria,DZA,2016.0,,,177.42,,,,29.3,4.39,3.9,,,,-49.44,4.82,,,19783349.0,,,,,,,0.015969405,,,,,,,
Algeria,DZA,2017.0,,,191.74,,,,34.6,3.8,1.5,,,,-48.98,6.65,,,21071656.0,,,,,,,0.014009647,,,,,,,
Algeria,DZA,2018.0,,,198.59,,,,41.1,4.59,1.4,,,,-48.57,5.22,,,22683845.0,,,,,,,0.012466762,,,,,,,
Algeria,DZA,2019.0,,,203.74,,,,35.3,3.34,0.9,,,,-44.63,4.18,,,23090099.0,,,,,,,0.015804166,,,,,,,
Algeria,DZA,2020.0,,,207.66,,,,21.9,-0.76,-5.0,,,,-35.55,1.9,,,20902124.0,,,,,,,0.019743279,,,,,,,
Algeria,DZA,2021.0,,,216.45,,,,38.6,0.63,3.8,,,,-37.47,2.61,,,25153206.0,,,,,,,0.018255189,,,,,,,
Algeria,DZA,2022.0,,,236.0,,,,65.7,10.9,3.6,,,,-38.87,7.62,,,32039527.0,,,,,,,0.014895121,,,,,,,
Algeria,DZA,2023.0,,,257.98,,,,55.0,13.43,3.0,,,,-42.96,9.29,,,33638264.0,,,,,,,0.017176928,,,,,,,
Algeria,DZA,2024.0,,,274.32,,,,,12.69,3.6,,,,,9.06,,,35788498.8,,,,,,,0.015301209,,,,,,,
Algeria,DZA,2025.0,,,284.46,,,,,2.88,,,,,,3.84,,,,,,,,,,0.022871768,,,,,,,
Angola,AGO,1990.0,,,,,,,3882.7,,,,,,,,,,,,,,,,,0.02025027,,,,,,,
Angola,AGO,1991.0,,,,,,,3449.2,,,,,,,,,,,,,,,,,0.02025027,,,,,,,
Angola,AGO,1992.0,,,,,,,3832.7,,,,,,,,,,,,,,,,,0.02025027,,,,,,,
Angola,AGO,1993.0,,,,,,,2900.4,,,,,,,,,,,,,,,,,0.02025027,,,,,,,
Angola,AGO,1994.0,,,,,,,3016.7,,,,,,,,,,,,,,,,,0.02025027,,,,,,,
Angola,AGO,1995.0,,,,,,,3722.7,,,,,,,,,,,,,,,,,0.02025027,,,,,,,
Angola,AGO,1996.0,,,,,,,5094.8,,,,,,,,,,,,,,,,,0.02025027,,,,,,,
Angola,AGO,1997.0,,,,,,,5006.7,,,,,,,,,,,,,,,,,0.02025027,,,,,,,
Angola,AGO,1998.0,,,,,,,3542.9,,,,,,,,,,,,,,,,,0.02025027,,,,,,,
Angola,AGO,1999.0,,,,,,,5156.5,,,,,,,,,,,,,,,,,0.02025027,,,,,,,
Angola,AGO,2000.0,,,,,,,7920.7,,,,,,,,,,,,,,,,,0.02025027,,,,,,,
Angola,AGO,2001.0,,,,,,,6534.3,,,,,,,,,,,,,,,,,0.02025027,,,,,,,
Angola,AGO,2002.0,,,,,,,8327.9,,,55490.0,,,,,,,753573.7197,13580345.51,,,,,,0.02025027,,,,,,,
Angola,AGO,2003.0,,,,,,,9508.2,,3.49,107760.0,,,5480.12,,,,1517650.933,14083677.03,779853.1894,,,,,0.02025027,,,,,,,
Angola,AGO,2004.0,,,,,,,13475.0,,11.42,155336.0,,,5831.78,,,,2255447.872,14519769.61,1690964.596,,,,,0.02025027,,,,,,,
Angola,AGO,2005.0,,,,,,,24109.4,,14.15,241374.0,,,8353.24,,,,3608095.309,14948177.73,2574701.5,,,,,0.020161627,,,,,,,
Angola,AGO,2006.0,,,,,,,31862.2,,11.84,305893.0,,,8777.63,,,,4713881.568,15410205.33,4035359.384,,,,,0.018595554,,,,,,,
Angola,AGO,2007.0,,,,,,,44396.2,,13.0,352609.0,,,13661.46,,,,5602449.613,15888562.39,5326812.926,,,,,0.02207572,,,,,,,
Angola,AGO,2008.0,,,,,,,63913.9,,10.79,452873.0,,,20982.19,,,,7412577.53,16367880.0,6206765.463,,,,,0.02284498,,,,,,,
Angola,AGO,2009.0,,,,,,,40827.9,,2.0,383775.0,,,22659.94,,,,6481521.8,16888858.0,7560502.119,,,,,0.021334514,,,,,,,
Angola,AGO,2010.0,,,,,,,50594.9,,5.29,507350.0,,,16666.86,,,,8781308.454,17308202.75,6824631.898,,,,,0.024507582,,,,,,,
Angola,AGO,2011.0,,,,,,,67310.3,,3.59,663525.0,,,20228.45,,,,11793661.42,17774262.37,9096897.229,,,,,0.021334514,,,,,,,
Angola,AGO,2012.0,,,,,,,71093.3,,8.5,751446.0,,,23703.84,,10.3,,13706611.88,18240321.99,12796490.94,,,,,0.022338592,,,,,,,
Angola,AGO,2013.0,,,,,,,68246.5,,4.88,793353.0,,,26330.99,,10.0,,14840760.47,18706381.61,14375914.13,,,,,0.019446312,,,,,,,
Angola,AGO,2014.0,,,,,,,59169.9,,4.66,624129.0,,,28580.27,,9.3,,16165667.82,25901182.0,15531705.26,,,,,0.017807016,,,,,,,
Angola,AGO,2015.0,,,,,,,33181.1,,0.76,592443.0,,,20692.54,,9.0,,15807317.33,26681590.0,16289040.59,,,,,0.019340025,,,,,,,
Angola,AGO,2016.0,,,,,,,27588.9,,-1.7,682888.0,,,13040.49,,12.0,,18781815.99,27503526.0,15538509.1,,,,,0.020566728,,,,,,,
Angola,AGO,2017.0,,,,,,,34613.5,,-0.15,818092.0,,,14463.24,,16.0,,23200798.62,28359634.0,18753756.66,,,,,0.023145791,,,,,,,
Angola,AGO,2018.0,,,,,,,40757.8,,-0.59,987124.0,,,15797.85,,18.0,,28873391.11,29250009.0,23062890.47,,,,,0.02092359,,,,,,,
Angola,AGO,2019.0,,,,,,,34725.6,,-0.2,1144586.0,,,14127.06,,15.8,,34538508.02,30175553.0,28814292.98,,,,,0.023195187,,,,,,,
Angola,AGO,2020.0,,,,,,,20937.4,,-4.04,1235754.0,,,9543.14,,15.5,,38466148.28,31127674.0,33142307.05,,,,,0.020566728,,,,,,,
Angola,AGO,2021.0,,,101.5,,,,33581.5,,2.1,1659871.0,,,11794.85,,15.5,,53277982.46,32097671.0,39274996.18,,,,,0.023755463,,,,,,,
Angola,AGO,2022.0,,,129.57,,,,50038.0,,4.22,1982276.0,,,17267.32,22.96,20.0,,65586149.32,33086278.0,55524183.58,,,,,0.023153406,,,,,,,
Angola,AGO,2023.0,,,145.83,,,,36884.7,,1.26,2298268.0,,,15084.85,12.55,19.5,,78322351.9,34078866.34,66414704.48,,,,,0.021354988,,,,,,,
Angola,AGO,2024.0,,,177.89,,,,36795.0,,3.79,,,,14190.24,21.99,18.0,,,,,,,,,0.017697027,,,,,,,
Angola,AGO,2025.0,,,224.99,,,,7778.95,,3.51,,,,3806.89,26.48,19.5,,,,,,,,,0.013548939,,,,,,,
Botswana,BWA,1960.0,,,,,,,,,,,,,,,,,,516165.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1961.0,,,,,,,,,,,,,,,,,,527942.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1962.0,,,,,,,,,,,,,,,,,,540186.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1963.0,,,,,,,,,,,,,,,,,,552966.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1964.0,,,,,,,,,,,,,,,,,,566266.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1965.0,,,,,,,,,,,,,,,,,,574664.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1966.0,,,,,,,,,,,,,,,,,,577866.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1967.0,,,,,,,,,,,,,,,,,,580933.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1968.0,,,,,,,,,,,,,,,,,,583966.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1969.0,,,,,,,,,,,,,,,,,,587066.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1970.0,,,,,,,,,,,,,,,,,,590334.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1971.0,,,,,,,,,,,,,,,,,,600481.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1972.0,,,,,,,,,,,,,,,,,,622407.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1973.0,,,,,,,,,,,,,,,,,,652408.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1974.0,,,,,,,,,,,,,,,,,,685448.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1975.0,,,,,,,,,,,,,,,,,,720380.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1976.0,,,,,,,,,,,,,,,,,,758508.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1977.0,,,,,,,,,,,,,,,,,,799574.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1978.0,,,,,,,,,,,,,,,,,,849239.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1979.0,,,,,,,,,,,,,,,,,,901742.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1980.0,,,,,,,,,,,,,,,,,,937485.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1981.0,,,,,,,,,,,,,,,,,,969996.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1982.0,,,,,,,,,,,,,,,,,,1009269.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1983.0,,,,,,,,,,,,,,,,,,1046137.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1984.0,,,,,,,,,,,,,,,,,,1083660.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1985.0,,,,,,,,,,,,,,,,,,1121945.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1986.0,,,,,,,,,,,,,,,,,,1160650.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1987.0,,,,,,,,,,,,,,,,,,1199167.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1988.0,,,,,,,,,,,,,,,,,,1235476.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1989.0,,,,,,,,,,,,,,,,,,1270274.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1990.0,,,,,,,,,,,,,,,,,,1305696.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1991.0,,,,,,,,,,,,,,,,,,1341756.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1992.0,,,,,,,,,,,,,,,,,,1380033.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1993.0,,,,,,,,,,,,,,,,,,1420115.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1994.0,,,,,,,,,,,,,,,,,,1460023.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1995.0,,,,,,,,,,,,,,,,,,1498836.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1996.0,,,,,,,,,,,,,,,,,,1535914.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1997.0,,,,,,,,,,,,,,,,,,1571691.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1998.0,,,,,,,,,,,,,,,,,,1606899.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,1999.0,,,,,,,,,,,,,,,,,,1641997.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,2000.0,,,,,,,,,,,,,,,,,,1677382.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,2001.0,,,,,,,,,,,,,,,,,,1712254.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,2002.0,,,,,,,,,,,,,,,,,,1744763.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,2003.0,,,,,,,,,,,,,,,,,,1775736.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,2004.0,,,,,,,,,,,,,,,,,,1807146.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,2005.0,,,,,,,,,,,,,,,,,,1839877.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,2006.0,,,,,,,,,,,,,,,,,,1874516.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,2007.0,,,,,,,,,,,,,,,,,,1911201.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,2008.0,,,,,,,,,,,,,,,,,,1949970.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,2009.0,,,,,,,,,,,,,,,,,,1990673.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,2010.0,,,,,,,,,,,,,,,,,,2033111.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,2011.0,,,,,,,,,,,,,,,,,,2073535.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,2012.0,,,,,,,,,,,,,,,,,,2108617.0,,,,,,0.013131097,,,,,,,
Botswana,BWA,2013.0,,,,,,,,,,,,,,,,,,2140682.0,152500.4,,,,,0.013131097,,,,,,,
Botswana,BWA,2014.0,,,,,,,,,,,,,,,7.5,,,2172044.0,40696.5,,,,,0.013131097,,,,,,,
Botswana,BWA,2015.0,,,,,,,,,,70162.76,,,,,7.25,,,2203273.0,39080.1,,,,,0.013131097,,,,,,,
Botswana,BWA,2016.0,,,,,,,,,,74072.23,,,,,6.0,,,2234776.0,40475.1,,,,,0.013131097,,,,,,,
Botswana,BWA,2017.0,,,,,,,,,,75946.28,,,,,5.5,,,2266747.0,41756.7,,,,,0.013131097,,,,,,,
Botswana,BWA,2018.0,,,,,,,,,,77927.75,,,,,5.0,,,2299141.0,43344.6,,,,,0.013131097,,,,,,,
Botswana,BWA,2019.0,,,,,,,,,,79087.81,,,,,5.0,,,2332083.0,45322.9,,,,,0.013131097,,,,,,,
Botswana,BWA,2020.0,,,,,,,,,,70627.99,,,,,4.75,,,2365894.0,45831.4,,,,,0.013131097,,,,,,,
Botswana,BWA,2021.0,,,,,,,,,,77876.73,,,,,3.75,,,2401441.0,46484.0,,,,,0.013131097,,,,,,,
Botswana,BWA,2022.0,,,,,,,,,,80960.0,,,,,3.75,962319.0,,2439892.0,49490.6,,,25.4,,0.013131097,,,,,,,
Botswana,BWA,2023.0,,,,,,,,,,82375.03,,,,,1.9,1063776.0,,2480244.0,52312.6,,,25.9,,0.013131097,,,,,,,
Botswana,BWA,2024.0,,,,,,,,,,78804.33,,,,,1.9,1041204.0,,,49583.5,,,27.6,,0.013131097,,,,,,,
Botswana,BWA,2025.0,,,,,,,,,,,,,,,1.9,,,,49435.2,,,,,0.013131097,,,,,,,
Egypt,EGY,1982.0,,,,,,,,,,,,,,,,,22.5,,1319.4,,,,,1.0572814,,,,,,,
Egypt,EGY,1983.0,,,,,,,,,4.89,,,,,,,,26.6,,1383.91,,,,,1.0572814,,,,,,,
Egypt,EGY,1984.0,,,,,,,,,9.75,,,,,,,,31.6,,1518.78,,,,,1.2004471,,,,,,,
Egypt,EGY,1985.0,,,,,,,,,5.79,,,,,,,,37.3,,1606.74,,,,,1.061713,,,,,,,
Egypt,EGY,1986.0,,,,,,,,,4.74,,,,,,,,44.1,,1682.97,,,,,0.9096639,,,,,,,
Egypt,EGY,1987.0,,,,,,,,,3.48,,,,,,,,51.5,,1741.61,,,,,0.8399182,,,,,,,
Egypt,EGY,1988.0,,,,,,,,,5.39,,,,,,,,61.6,,1835.43,,,,,0.96938676,,,,,,,
Egypt,EGY,1989.0,,,,,,,,,5.11,,,,,,,,77.0,,1929.26,,,,,0.85712427,,,,,,,
Egypt,EGY,1990.0,,,,,,,,,5.78,,,,,,,,95.8,,2040.68,,,,,1.1021079,,,,,,,
Egypt,EGY,1991.0,,,,,,,,,1.15,,,,,,,,112.5,,2064.13,,,,,0.80089587,,,,,,,
Egypt,EGY,1992.0,,,,,,,,,4.26,,,,,,,,139.1,,2152.09,,,,,0.9710994,,,,,,,
Egypt,EGY,1993.0,,,,,,,,,3.0,,,,,,,,155.2,,2216.6,,,,,0.8586403,,,,,,,
Egypt,EGY,1994.0,,,,,,,,,3.97,,,,,,,,175.0,,2304.56,,,,,1.2582467,,,,,,,
Egypt,EGY,1995.0,,,,,,,,,4.58,,,,,,,,204.0,,2410.11,,,,,1.6744335,,,,,,,
Egypt,EGY,1996.0,,,,,,,,,5.11,,,,,,,,229.4,,2533.25,,,,,1.6298311,,,,,,,
Egypt,EGY,1997.0,,,,,,,,,5.32,,,,,,,,265.9,,2668.12,,,,,1.7339408,,,,,,,
Egypt,EGY,1998.0,,,,,,,,,4.18,,,,,,,,287.4,,2779.54,,,,,1.6625842,,,,,,,
Egypt,EGY,1999.0,,,,,,,,,5.91,,,,,,,,307.6,,2943.73,,,,,1.7421739,,,,,,,
Egypt,EGY,2000.0,,,,,,,,,5.58,,,,,2.9,,,340.1,,3107.92,,,,,1.433218,,,,,,,
Egypt,EGY,2001.0,,,,,,,,,3.4,,,,,2.6,,,358.7,,3213.48,,,,,1.2818347,,,,,,,
Egypt,EGY,2002.0,,,,,,,,,2.37,,,,,2.4,,,378.9,,3289.71,,,,,1.4357394,,,,,,,
Egypt,EGY,2003.0,,,,,,,,,3.19,,,,,2.9,,,417.5,,3394.73,,,,,1.8900434,,,,,,,
Egypt,EGY,2004.0,,,,,,,,,4.09,,18964.5,,,12.7,,,485.3,,3533.57,,,,,98.08952,3907.788996497012,,,,,,
Egypt,EGY,2005.0,,,135.5,,,,4031.0,,4.47,,18231.0,,7348.3,9.4,,,538.5,,3691.99,,,,,99.16802,3385.5153203342616,,,,,,
Egypt,EGY,2006.0,-962.0,,138.3,3805.0,,42053.0,18455.1,,6.84,,18864.5,,30441.0,3.4,,,617.7,,3945.32,45046.0,17124.0,,,99.853745,3053.9906103286385,2993.0,484.5394204306297,7292.536830176461,2772.2195240407964,38.014474093149225,6807.997409745831
Egypt,EGY,2007.0,-56213.0,,155.5,17718.0,,244018.0,22017.5,,7.09,,19492.0,,38308.1,12.4,,,744.8,,4225.22,205654.0,114326.0,,,99.755646,2617.0784103114934,-38364.0,-5150.912996777659,27611.97636949517,15349.892588614395,55.59143026636973,32762.889366272826
Egypt,EGY,2008.0,-67563.0,,110.5,19849.0,,305795.0,29355.8,,7.16,,21641.1,,52771.2,10.5,,,895.5,,4527.8,248835.0,137195.0,,,99.86929,2416.649916247906,-56960.0,-6360.692350642099,27787.269681742044,15320.491345616974,55.134928768059154,34147.96203238414
Egypt,EGY,2009.0,-72379.0,,126.4,22267.0,,356944.0,25168.9,,4.67,,25817.7,,50342.2,14.4,,,1042.2,,4739.07,288545.0,163222.0,,,99.692955,2477.230857800806,-68399.0,-6562.943772788331,27686.144693916714,15661.293417770103,56.56725987281014,34249.08846670505
Egypt,EGY,2010.0,-98886.0,,100.0,23453.0,,396768.0,23873.1,,5.15,,26249.3,,48993.1,13.9,11.1,,1206.6,,4983.15,303361.0,170494.0,9.0,,99.83704,2175.4765456655064,-93407.0,-7741.339300513841,25141.80341455329,14130.117686060004,56.201687098869,32883.14271506714
Egypt,EGY,2011.0,-134138.0,,110.8,26484.0,,440410.0,26992.5,,1.76,,27092.2,,54095.5,10.8,10.7,,1371.1,,5070.09,302010.0,192072.0,12.0,,99.86274,1975.9463204726135,-138400.0,-10094.08504120779,22026.839763693384,14008.606228575596,63.59789410946658,32120.924804901177
Egypt,EGY,2012.0,-165689.0,,120.3,26018.0,,516422.0,25071.9,,2.23,,25594.4,,59210.9,8.6,11.9,,1674.7,,5183.44,348865.0,207410.0,12.7,,99.93241,1528.297605541291,-167557.0,-10005.194960291396,20831.492207559564,12384.904759061325,59.45279692717813,30836.68716785096
Egypt,EGY,2013.0,-246853.0,,127.9,28739.0,,644080.0,26988.1,,2.19,,28489.6,,57682.8,6.3,12.1,,1860.4,,5296.37,403637.0,251118.0,13.2,,99.92058,1531.3695979359275,-240443.0,-12924.263599225973,21696.248118684154,13498.06493227263,62.213820834066254,34620.51171791012
Egypt,EGY,2014.0,-254715.0,,142.4,31844.0,,759847.0,26022.6,,2.92,,29054.0,,60181.9,11.4,11.8,,2130.0,,5451.64,519449.0,260289.0,13.0,,99.82839,1364.0375586854461,-240398.0,-11286.291079812207,24387.276995305165,12220.140845070422,50.10867284372479,35673.56807511737
Egypt,EGY,2015.0,-284314.0,,156.2,41477.0,,805929.0,22245.1,,4.37,,25707.2,,61305.5,9.7,11.7,,2443.9,,5689.25,538378.0,305957.0,12.8,,99.89371,1051.89246695855,-267551.0,-10947.70653463726,22029.461107246614,12519.211097017062,56.82940239014225,32977.167641883876
Egypt,EGY,2016.0,-244653.0,,171.9,30854.0,,586805.0,18704.6,,4.35,,24436.7,,57387.7,10.1,11.9,,2709.4,,5936.11,331741.0,352315.0,12.5,,95.654915,901.9229349671514,-255064.0,-9414.04000885805,12244.076179227874,13003.432494279175,106.20182612339144,21658.11618808592
Egypt,EGY,2017.0,-366401.0,,220.3,48934.0,,1116985.0,21728.2,,4.18,,34874.7,,59003.0,28.1,16.5,,3655.9,,6184.85,755110.0,462007.0,11.8,,99.663284,953.9292650236602,-361875.0,-9898.383434995487,20654.558385076176,12637.298613200579,61.18406589768378,30552.941820071665
Egypt,EGY,2018.0,-425385.0,,257.9,55002.0,,1335980.0,25827.0,,5.31,,47648.8,,63103.0,17.1,19.9,,4666.2,,6514.41,915974.0,628083.0,9.9,,99.816986,1021.1478290686213,-420006.0,-9001.028674296002,19629.97728344263,13460.26745531696,68.5699594093282,28631.00595773863
Egypt,EGY,2019.0,-423019.0,,290.7,61582.0,,1505187.0,28495.0,,5.56,,57272.0,,66529.4,12.7,18.1,,5596.0,,6875.82,1080152.0,736121.0,7.9,,99.77469,1023.4453180843459,-425035.0,-7595.335954253038,19302.215868477484,13154.41386704789,68.14976040409128,26897.551822730522
Egypt,EGY,2020.0,-408509.0,,105.6,66868.0,,1580934.0,26376.0,,3.57,,69352.1,,62841.1,7.2,13.6,,6152.6,,7121.63,1121422.0,739633.0,7.9,,99.819496,1127.199882976303,-459512.0,-7468.582387933556,18226.798426681402,12021.470597796053,65.95492151928534,25695.380814614957
Egypt,EGY,2021.0,-459449.0,,110.2,79426.0,,1729464.0,28676.5,,3.3,,82445.6,,70736.1,4.3,9.5,,6663.1,,7353.18,1266027.0,833993.0,7.4,,99.72418,1237.3459800993533,-463437.0,-6955.276072698894,19000.570305113233,12516.591376386366,65.87481941538371,25955.84637781213
